"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value"
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1282
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",65.8
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",46
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",2.4
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",719
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",36.9
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",1947
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1190
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",61.3
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",50
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",2.6
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",746
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",38.4
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",1942
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",142
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",29.5
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",8
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",1.7
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",55
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",11.4
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",481
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",145
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",33
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",7
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",1.6
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",56
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",12.7
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",440
"Ashford School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",126
"Ashford School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",29.7
"Ashford School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",6
"Ashford School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",1.4
"Ashford School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",50
"Ashford School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",11.8
"Ashford School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",424
"Ashford School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",136
"Ashford School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",32.6
"Ashford School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",7
"Ashford School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",1.7
"Ashford School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",50
"Ashford School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",12
"Ashford School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",417
"Ashford School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",138
"Ashford School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",34.5
"Ashford School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999
"Ashford School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999
"Ashford School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",45
"Ashford School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",11.2
"Ashford School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",400
"Ashford School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",118
"Ashford School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",29
"Ashford School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",-9999
"Ashford School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",-9999
"Ashford School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",50
"Ashford School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",12.3
"Ashford School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",407
"Ashford School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",122
"Ashford School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",30.9
"Ashford School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",-9999
"Ashford School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",-9999
"Ashford School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",52
"Ashford School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",13.2
"Ashford School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",395
"Avon School District",900302060,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",202
"Avon School District",900302060,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",5.7
"Avon School District",900302060,"2011-2012","Indicator of Educational Need","English Language Learner","Number",60
"Avon School District",900302060,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",1.7
"Avon School District",900302060,"2011-2012","Indicator of Educational Need","Special Education","Number",382
"Avon School District",900302060,"2011-2012","Indicator of Educational Need","Special Education","Percent",10.9
"Avon School District",900302060,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",3518
"Avon School District",900302060,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",206
"Avon School District",900302060,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",6
"Avon School District",900302060,"2012-2013","Indicator of Educational Need","English Language Learner","Number",57
"Avon School District",900302060,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",1.7
"Avon School District",900302060,"2012-2013","Indicator of Educational Need","Special Education","Number",369
"Avon School District",900302060,"2012-2013","Indicator of Educational Need","Special Education","Percent",10.8
"Avon School District",900302060,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",3421
"Avon School District",900302060,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",204
"Avon School District",900302060,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",6
