"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value","R#","Region"
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",3.9,2,"South Central"
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","Special Education","Number",457,2,"South Central"
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","Special Education","Percent",19.8,2,"South Central"
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",2304,2,"South Central"
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",925,2,"South Central"
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",47.3,2,"South Central"
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",41,2,"South Central"
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",2.1,2,"South Central"
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",702,2,"South Central"
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",35.9,2,"South Central"
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",1955,2,"South Central"
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",910,2,"South Central"
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",47.1,2,"South Central"
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",42,2,"South Central"
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",2.2,2,"South Central"
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",699,2,"South Central"
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",36.2,2,"South Central"
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",1932,2,"South Central"
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1093,2,"South Central"
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",56.5,2,"South Central"
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",46,2,"South Central"
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",2.4,2,"South Central"
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",734,2,"South Central"
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",38,2,"South Central"
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",1933,2,"South Central"
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1130,2,"South Central"
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",58.3,2,"South Central"
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",56,2,"South Central"
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",2.9,2,"South Central"
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",747,2,"South Central"
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",38.5,2,"South Central"
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",1939,2,"South Central"
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1340,2,"South Central"
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",68.8,2,"South Central"
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",54,2,"South Central"
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",2.8,2,"South Central"
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",742,2,"South Central"
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",38.1,2,"South Central"
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",1948,2,"South Central"
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1282,2,"South Central"
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",65.8,2,"South Central"
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",46,2,"South Central"
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",2.4,2,"South Central"
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",719,2,"South Central"
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",36.9,2,"South Central"
"Area Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",1947,2,"South Central"
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1190,2,"South Central"
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",61.3,2,"South Central"
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",50,2,"South Central"
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",2.6,2,"South Central"
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",746,2,"South Central"
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",38.4,2,"South Central"
"Area Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",1942,2,"South Central"
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",142,3,"Eastern"
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",29.5,3,"Eastern"
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",8,3,"Eastern"
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",1.7,3,"Eastern"
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",55,3,"Eastern"
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",11.4,3,"Eastern"
"Ashford School District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",481,3,"Eastern"
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",145,3,"Eastern"
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",33,3,"Eastern"
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",7,3,"Eastern"
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",1.6,3,"Eastern"
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",56,3,"Eastern"
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",12.7,3,"Eastern"
"Ashford School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",440,3,"Eastern"
"Ashford School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",126,3,"Eastern"
"Ashford School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",29.7,3,"Eastern"
"Ashford School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",6,3,"Eastern"
"Ashford School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",1.4,3,"Eastern"
"Ashford School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",50,3,"Eastern"
"Ashford School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",11.8,3,"Eastern"
